instance_id,depth_p10,depth_p50,depth_p90,depth_entropy,depth_skew,queue_entropy
1685,15,113,173,7.509367185065348,-0.3679615661610577,0.4988126701766059
1686,13,43,150,7.084928259225829,0.9688368010021304,1.1423437846567526
1687,9,71,161,7.458848523901739,0.31564191761574634,0.9963492164696478
1688,12,61,168,7.383855134411961,0.47266197525915926,0.4105693748873654
1689,1,7,13,3.935398667466763,0.07168228667311416,0.0
1690,21,80,162,7.497305830895405,0.29848051380294094,0.14144054254182067
1691,18,74,160,7.490451839032026,0.4082663950643482,0.15649106290570153
1692,11,55,130,7.128302814588656,0.5005620422118036,0.385551590339795
1693,11,73,158,7.4526656130316145,0.2778426310799631,0.340719732641027
1694,13,69,154,7.503597956732521,0.3852592349227234,0.5324155201332621
1695,13,58,152,7.3072433712548595,0.5699196162671994,0.20676023071196462
1696,13,30,143,6.888448568784152,1.2633120925290005,0.2623112196143366
1697,13,71,166,7.496557184822709,0.37196023788620436,0.26073212131992685
1698,1,5,9,3.3005590923909547,-0.028392984977301305,0.0
1699,11,64,154,7.39864866174912,0.6497527881371876,0.5247091387798243
1700,12,30,161,6.95295948544708,0.9735620951632564,0.7949045578416318
1701,24,98,179,7.571658311756093,0.08446789926815546,1.0312825714103866
1702,2,8,15,4.074697149661484,-0.009499316719863204,0.9182958340544894
1703,17,84,176,7.555683826909905,0.24433270236934312,0.1626028019202774
1704,17,82,176,7.45126475383904,0.272686586541789,1.6501773806741926
1705,23,99,179,7.598434070623585,0.06551854433139015,0.15145179855285376
1706,24,101,180,7.594383923042138,0.037294573253751406,0.11766289862209503
1707,18,88,177,7.5635178016563716,0.18969802961040827,0.7968081479832222
1708,24,73,174,7.424190303070929,0.43109570546847387,1.0759432062668859
1709,22,92,178,7.59709542644974,0.16661756658713678,0.12417981139519106
1710,26,101,180,7.559735330818555,0.05039261617620383,0.892309845557947
1711,21,97,179,7.531643521642307,0.09204355656161867,0.8801747591208952
